index        real(x)        imag(x)        real(y)        imag(y)          error
109       0.282843       0.959166       0.807633      -0.589685        1.91471
110     -0.0132424       0.999912       0.961096      -0.276215        1.86389
111      -0.308145        0.95134       0.997468      0.0711146        1.81286
112      -0.575521       0.817787       0.912151       0.409855        1.76174
113      -0.791488       0.611184        0.71554       0.698572        1.71064
114      -0.936755       0.349986       0.431665       0.902034        1.65958
115      -0.998344      0.0575256      0.0952868        0.99545        1.60867
116      -0.970755      -0.240074      -0.252469       0.967605        1.55801
117      -0.856451      -0.516228      -0.569258       0.822159        1.50763
118      -0.665644       -0.74627      -0.816665       0.577111        1.45763
119      -0.415377       -0.90965      -0.964937       0.262482        1.40803
120      -0.128005      -0.991773      -0.996514     -0.0834308        1.35891
121         0.1708      -0.985306      -0.908082      -0.418792        1.31032
122       0.454349      -0.890824      -0.710838      -0.703355        1.26233
123       0.697312      -0.716768      -0.428985      -0.903312        1.21501
124       0.877986      -0.478685     -0.0965841      -0.995325        1.16837
125       0.980234      -0.197844       0.246641      -0.969107        1.12243
126        0.99492       0.100671       0.560034      -0.828469        1.07721
127       0.920733       0.390193       0.806897      -0.590693        1.03276
128       0.764301        0.64486       0.958745      -0.284269       0.989084
129       0.539596       0.841924       0.998514      0.0544876       0.946325
130       0.266691       0.963782       0.922444       0.386131       0.904405
131      -0.030037       0.999549       0.740174       0.672416        0.86337
132      -0.324082       0.946029       0.473456       0.880817       0.823251
133      -0.589177       0.808004       0.153369       0.988169       0.784017
134      -0.801643       0.597803      -0.183269       0.983063       0.745729
135      -0.942502       0.334202      -0.498366       0.866967       0.708326
136      -0.999169      0.0407474      -0.756607        0.65387        0.67193
137      -0.966585      -0.256347      -0.929696       0.368327       0.636449
138      -0.847659      -0.530542       -0.99909       0.042662       0.601915
139      -0.653014      -0.757346         -0.958      -0.286768       0.568387
140      -0.400038      -0.916499      -0.811897        -0.5838       0.535837
141      -0.111328      -0.993784      -0.577604      -0.816317       0.504232
142       0.187327      -0.982298      -0.281314      -0.959616       0.473604
